id_vintage_id,wine_id,name,country,region,wynnery,wine_color,grappe
174831153,5294192,Nic Tartaglia Trebbiano d'Abruzzo 2022,Italie,Trebbiano d'Abruzzo,Nic Tartaglia,Vin blanc,Trebbiano D'Abruzzo
173849199,11339017,Henri Giraud Collection Fût de Chêne Brut Champagne Grand Cru 'Ay' 1998,France,Champagne Grand Cru Aÿ,Henri Giraud,Vin effervescent,Assemblage
173555750,3596240,Anselmet Semel Pater 2021,Italie,Vallée d'Aoste,Anselmet,Vin rouge,Pinot Nero
173338092,3094569,Martin Waßmer Castellberg Pinot Noir 2020,Allemagne,Baden,Martin Waßmer,Vin rouge,Pinot Noir
173167924,2486585,Capichera VT Vendemmia Tardiva 2021,Italie,Isola dei Nuraghi,Capichera,Vin doux,Vermentino
173130847,2729700,Jean Bourdy Vin de Paille 2017,France,Côtes du Jura,Jean Bourdy,Vin doux,
173058397,4135095,Cota 45 Pandorga 2021,Espagne,Vino de España,Cota 45,Vin à haut degré d'alcool,Pedro Ximenez
173038912,10203724,Herdade do Sobroso Elevage Branco 2021,Portugal,Alentejo,Herdade do Sobroso,Vin blanc,Antão Vaz
173017935,1397765,Domaine de Montille Clos Vougeot Grand Cru 2020,France,Clos Vougeot Grand Cru,Domaine de Montille,Vin rouge,Pinot Noir
173000707,10168990,Roagna Rocche di Castiglione Barolo 2017,Italie,Barolo,Roagna,Vin rouge,Nebbiolo
172872534,6173783,Jacquesson Champ Cain Extra Brut Champagne Grand Cru 'Avize' 2013,France,Champagne Grand Cru Avize,Jacquesson,Vin effervescent,Chardonnay
172842842,77308,Roberto Voerzio La Serra Barolo 2019,Italie,Barolo,Roberto Voerzio,Vin rouge,Nebbiolo
172825878,5937785,Morca Touran 2020,Espagne,Campo de Borja,Morca,Vin rouge,Grenache
172822684,6923500,Lismore Estate Reserve Viognier 2021,Afrique du Sud,Greyton,Lismore,Vin blanc,Viognier
172723280,10773117,Varvaglione Paralupi Appassimento 2021,Italie,Pouilles,Varvaglione,Vin rouge,Assemblage
172723136,16541,Domaine Bertagna Clos Saint Denis Grand Cru 2020,France,Clos Saint-Denis Grand Cru,Domaine Bertagna,Vin rouge,Pinot Noir
172716566,1480077,Mont d'Or Sous L'Escalier Petite Arvine du Valais 2021,Suisse,Valais,Mont d'Or,Vin blanc,Petite Arvine
172703693,6887039,DuMOL Hyde Vineyard Chardonnay 2020,États-Unis,Los Carneros,DuMOL,Vin blanc,Chardonnay
172679965,2451712,Terlan (Terlano) Grande Cuvée I Terlaner 2020,Italie,Südtirol - Alto Adige,Terlan (Terlano),Vin blanc,Assemblage
172600617,17948,DuMOL Finn Pinot Noir 2020,États-Unis,Russian River Valley,DuMOL,Vin rouge,Pinot Noir
172530864,5296435,Boekenhoutskloof The Journeyman 2020,Afrique du Sud,Franschhoek,Boekenhoutskloof,Vin rouge,Cabernet Sauvignon
172492225,3183806,Domaine de Montille Vosne-Romanée 1er Cru Aux Malconsorts Christiane 2020,France,Vosne-Romanée Premier Cru,Domaine de Montille,Vin rouge,Pinot Noir
172439570,6492988,Remírez de Ganuza Rioja Blanco Reserva 2020,Espagne,Rioja,Remírez de Ganuza,Vin blanc,Viura
172360654,17943,DuMOL Chloe Chardonnay 2020,États-Unis,Russian River Valley,DuMOL,Vin blanc,Chardonnay
171936320,4740498,Benoît Ente Puligny-Montrachet Premier Cru ' Clos de la Truffière' 2020,France,Puligny-Montrachet 1er Cru La Truffière,Benoît Ente,Vin blanc,Chardonnay
171909533,7476568,Cantina Kurtatsch Freienfeld Cabernet Sauvignon Riserva 2000,Italie,Südtirol - Alto Adige,Cantina Kurtatsch,Vin rouge,Cabernet Sauvignon
171880480,5859611,Lismore Reserve Chardonnay 2021,Afrique du Sud,Greyton,Lismore,Vin blanc,Viognier
171855422,4444422,Rhys Vineyards Alpine Hillside Pinot Noir 2019,États-Unis,Montagnes de Santa Cruz,Rhys Vineyards,Vin rouge,Pinot Noir
171817805,8164925,Racines Bentrock Vineyard Chardonnay 2019,États-Unis,Sta. Rita Hills,Racines,Vin blanc,Chardonnay
171756244,9311478,Puglia Pop Triglia Negroamaro Rosato 2022,Italie,Pouilles,Puglia Pop,Vin rosé,Negroamaro
171710800,10266383,Azienda Santa Barbara - Stefano Antonucci Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore 2020,Italie,Verdicchio dei Castelli di Jesi,Azienda Santa Barbara - Stefano Antonucci,Vin blanc,Verdicchio
171667410,1197969,Philippe Bouzereau - Chateau de Citeaux Meursault 1er Cru 'Perrières' 2020,France,Meursault 1er Cru Perrières,Philippe Bouzereau - Chateau de Citeaux,Vin blanc,Chardonnay
171644969,10746470,Château Purcari Academia Purcari Rară Neagră 2019,Moldavie,Stefan Voda,Château Purcari,Vin rouge,Băbească Neagră
171459505,1487447,Peirazeau-Groffier Chambolle-Musigny 1er Cru 'Les Amoureuses' 2020,France,Chambolle-Musigny 1er Cru Les Amoureuses,Peirazeau-Groffier,Vin rouge,Pinot Noir
171347748,7450034,Elio Perrone NŌ Rosso 2020,Italie,Piémont,Elio Perrone,Vin rouge,
171333723,7728010,Giacomo Conterno Charity Edition Nebbiolo d'Alba Arione 2019,Italie,Nebbiolo d'Alba,Giacomo Conterno,Vin rouge,Nebbiolo
171328948,6262044,Artuke El Escolladero 2020,Espagne,Rioja,Artuke,Vin rouge,Assemblage
171328092,9954550,Dominio de Calogía Tinto 2020,Espagne,Ribera del Duero,Dominio de Calogía,Vin rouge,Tinto Fino
171274826,7830393,Roagna Gallina Barbaresco 2017,Italie,Barbaresco,Roagna,Vin rouge,Nebbiolo
171210355,9330771,Pierre Girardin Batard-Montrachet Grand Cru 2020,France,Bâtard-Montrachet Grand Cru,Pierre Girardin,Vin blanc,Chardonnay
171055903,66104,Gaja Barbaresco 2019,Italie,Barbaresco,Gaja,Vin rouge,Nebbiolo
171047547,6918085,Bodegas Ximénez-Spínola Delicado Cosecha Pedro Ximénez 2021,Espagne,Jerez-Xérès-Sherry,Bodegas Ximénez-Spínola,Vin à haut degré d'alcool,Pedro Ximenez
170940426,4236310,Roger Pouillon & Fils Chemin du Bois Champagne 2015,France,Champagne,Roger Pouillon & Fils,Vin effervescent,Pinot Noir
170938062,1276653,Jean-Michel Gerin La Landonne Côte-Rôtie 2020,France,Côte-Rôtie,Jean-Michel Gerin,Vin rouge,Shiraz/Syrah
170886010,1235876,Château de Beaucastel Vieilles Vignes Châteauneuf-du-Pape Blanc 2021,France,Châteauneuf-du-Pape,Château de Beaucastel,Vin blanc,Roussanne
170832657,9648416,Quintodecimo Grande Cuvée Luigi Moio 2019,Italie,Campanie,Quintodecimo,Vin blanc,Assemblage
170792749,9025871,Château Mangot Todeschini Distique Saint-Émilion Grand Cru 2019,France,Saint-Émilion Grand Cru,Château Mangot,Vin rouge,Assemblage
170637198,2165971,Domaine Jean Collet Chablis Grand Cru 'Les Clos' 2020,France,Chablis Grand Cru Les Clos,Domaine Jean Collet,Vin blanc,Chardonnay
170631157,92256,Domaine Bruno Clair Bonnes Mares Grand Cru 2020,France,Bonnes-Mares Grand Cru,Domaine Bruno Clair,Vin rouge,Pinot Noir
170528653,9577421,Paul Launois Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger' 2017,France,Champagne Grand Cru Le Mesnil-sur-Oger,Paul Launois,Vin effervescent,Assemblage
170509683,9309505,Taaibosch Estate Crescendo 2019,Afrique du Sud,Stellenbosch,Taaibosch Estate,Vin rouge,Assemblage
170485208,8784596,Andremily Wines EABA 2019,États-Unis,Santa Barbara County,Andremily Wines,Vin rouge,Assemblage
170470052,3584029,Corte Figaretto Graal Amarone della Valpolicella Valpantena 2018,Italie,Amarone della Valpolicella Valpantena,Corte Figaretto,Vin rouge,Assemblage
170323976,3228089,La Tour Melas Παλιές Ρίζες (Palies Rizes) 2020,Grèce,Phthiotide,La Tour Melas,Vin rouge,Agiorgitiko
170302630,9153067,Masseria Borgo dei Trulli Duna Mirante Primitivo di Manduria 2020,Italie,Primitivo di Manduria,Masseria Borgo dei Trulli,Vin rouge,Primitivo
170243287,2542844,Azienda Santa Barbara - Stefano Antonucci Mossone 2019,Italie,Marche,Azienda Santa Barbara - Stefano Antonucci,Vin rouge,Merlot
170218069,6206170,Domaine de la Vougeraie Charlemagne Grand Cru 2020,France,Charlemagne Grand Cru,Domaine de la Vougeraie,Vin blanc,Chardonnay
170206387,1721196,Cloudburst Chardonnay 2020,Australie,Margaret River,Cloudburst,Vin blanc,Chardonnay
170186300,9078753,Schlossgut Liebieg Trittenheimer Apotheke 2019,Allemagne,Mosel,Schlossgut Liebieg,Vin blanc,Riesling
170150539,9735131,Azores Wine Company Vinha dos Utras 2020,Portugal,Açores,Azores Wine Company,Vin blanc,Arinto dos Açores
170108196,6821754,Domaine Lebreuil Corton-Charlemagne Grand Cru 2020,France,Corton-Charlemagne Grand Cru,Domaine Lebreuil,Vin blanc,Chardonnay
169925417,7882855,Vie di Romans Glesie Climat 2016,Italie,Frioul-Vénétie Julienne,Vie di Romans,Vin blanc,Chardonnay
169921285,1275531,Domaine Faiveley Chassagne-Montrachet 1er Cru 'Morgeot' 2020,France,Chassagne-Montrachet 1er Cru Morgeot,Domaine Faiveley,Vin blanc,Chardonnay
169911622,3586093,De Toren Private Cellar The Black Lion 2020,Afrique du Sud,Stellenbosch,De Toren Private Cellar,Vin rouge,Shiraz/Syrah
169827474,7709274,Tresoro Rosso 2018,Italie,Toscane,Tresoro,Vin rouge,Assemblage
169809721,9348311,Puglia Pop Luminaria Primitivo di Manduria 2021,Italie,Primitivo di Manduria,Puglia Pop,Vin rouge,Primitivo
169720860,10120230,Marc Hébrart Clos Le Léon Dizy Champagne 2014,France,Champagne,Marc Hébrart,Vin effervescent,Chardonnay
169627036,3667877,Cignomoro 6 Anime Puglia Rosso 2021,Italie,Pouilles,Cignomoro,Vin rouge,Assemblage
169621088,6991136,Frescobaldi Gorgona Rosso 2020,Italie,Côte toscane,Frescobaldi,Vin rouge,Assemblage
169595225,6543452,Cossart Gordon Bual Madeira 1978,Portugal,Madeira,Cossart Gordon,Vin à haut degré d'alcool,Bual
169525891,94692,Morlet Family Vineyards Cabernet Sauvignon Coeur De Vallée 2019,États-Unis,Oakville,Morlet Family Vineyards,Vin rouge,Cabernet Sauvignon
169465415,9957200,Penfolds 802.A Superblend 2018,Australie,Australie-Méridionale,Penfolds,Vin rouge,Shiraz/Syrah
169401074,76476,Belondrade Belondrade y Lurton 2021,Espagne,Rueda,Belondrade,Vin blanc,Verdejo
169397609,6821754,Domaine Lebreuil Corton-Charlemagne Grand Cru 2019,France,Corton-Charlemagne Grand Cru,Domaine Lebreuil,Vin blanc,Chardonnay
169346375,3094569,Martin Waßmer Castellberg Pinot Noir 2019,Allemagne,Baden,Martin Waßmer,Vin rouge,Pinot Noir
169344694,92600,Elena Walch Beyond the Clouds 2021,Italie,Südtirol - Alto Adige,Elena Walch,Vin blanc,Chardonnay
